City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,17.39,80,55,2.72,ZA,1707364489
1,kingston,17.997,-76.7936,23.53,64,20,6.69,JM,1707363758
2,grytviken,-54.2811,-36.5092,8.77,67,100,5.0,GS,1707364489
3,zaozersk,69.4005,32.4476,-24.42,99,71,2.25,RU,1707364489
4,yellowknife,62.456,-114.3525,-15.88,84,100,2.06,CA,1707364490
5,colonia,50.9333,6.95,4.97,91,75,1.03,DE,1707364414
6,keflavik,64.0049,-22.5624,-3.76,68,0,6.69,IS,1707364490
7,kiunga,-6.1219,141.2906,32.56,50,94,2.59,PG,1707364491
8,luderitz,-26.6481,15.1594,17.71,74,94,4.87,NA,1707364491
9,usinsk,65.9939,57.5281,-9.4,90,99,2.68,RU,1707364491
10,lompoc,34.6391,-120.4579,10.99,77,100,5.14,US,1707364491
11,yurty,56.0498,97.6348,-12.57,93,97,1.25,RU,1707364491
12,polyarnyy,69.1989,33.4478,-22.91,100,88,3.67,RU,1707364491
13,darab,28.7519,54.5444,7.9,33,0,0.51,IR,1707364492
14,port-aux-francais,-49.35,70.2167,4.31,70,82,11.96,TF,1707364492
15,northam,51.0333,-4.2167,12.03,96,100,7.57,GB,1707364492
16,klyuchi,52.2667,79.1667,-5.33,83,11,4.75,RU,1707364492
17,al ghayzah,16.2079,52.176,21.5,34,5,3.16,YE,1707364492
18,adamstown,-25.066,-130.1015,22.32,79,100,3.27,PN,1707364493
19,ushuaia,-54.8,-68.3,7.81,76,75,3.6,AR,1707364493
20,laja,-37.2667,-72.7,13.99,50,100,1.85,CL,1707364493
21,hermanus,-34.4187,19.2345,17.11,80,73,3.55,ZA,1707364493
22,pitimbu,-7.4706,-34.8086,28.33,82,78,3.53,BR,1707364493
23,puerto natales,-51.7236,-72.4875,8.34,81,79,6.47,CL,1707364493
24,bethel,41.3712,-73.414,2.19,66,0,1.54,US,1707364494
25,frolovo,49.7713,43.6622,4.66,92,100,9.87,RU,1707364494
26,niamey,13.5137,2.1098,19.16,18,4,3.6,NE,1707364494
27,suntar,62.1444,117.6319,-27.22,97,97,1.03,RU,1707364494
28,port alfred,-33.5906,26.891,16.21,89,6,1.34,ZA,1707364494
29,san antonio de pale,-1.4014,5.6325,27.73,79,42,2.63,GQ,1707364494
30,mana,5.6592,-53.7767,25.51,80,66,4.28,GF,1707364494
31,blackmans bay,-43.0167,147.3167,23.62,55,1,5.01,AU,1707364494
32,odugattur,12.7667,78.9,27.72,38,82,0.57,IN,1707364495
33,arkhangel'sk,64.5401,40.5433,-29.94,76,20,0.0,RU,1707364468
34,edinburgh of the seven seas,-37.0676,-12.3116,17.08,68,100,2.95,SH,1707364495
35,iqaluit,63.7506,-68.5145,-20.15,59,20,6.69,CA,1707364495
36,enewetak,11.3474,162.3373,26.59,81,100,8.4,MH,1707364495
37,al minya,28.1099,30.7503,11.78,59,0,3.35,EG,1707364495
38,ust-nera,64.5667,143.2,-25.72,97,100,0.83,RU,1707364495
39,kerikeri,-35.2268,173.9474,24.31,63,17,3.28,NZ,1707364211
40,georgetown,5.4112,100.3354,30.96,70,20,4.12,MY,1707364495
41,la'ie,21.6477,-157.9253,26.98,73,9,5.36,US,1707364496
42,san patricio,28.017,-97.5169,20.97,82,94,6.78,US,1707364496
43,grand falls-windsor,48.9332,-55.6649,-14.81,99,71,1.51,CA,1707364441
44,port elizabeth,-33.918,25.5701,20.16,78,0,5.14,ZA,1707364496
45,qaqortoq,60.7167,-46.0333,-6.58,81,100,2.11,GL,1707364496
46,okeho,8.0333,3.35,23.58,20,9,2.76,NG,1707364496
47,viqueque,-8.8673,126.3658,31.92,58,88,2.55,TL,1707364496
48,whakatane,-37.9585,176.9854,27.16,80,3,2.68,NZ,1707364497
49,oodweyne,9.4092,45.064,17.87,83,21,1.97,SO,1707364497
50,invercargill,-46.4,168.35,13.34,86,57,6.26,NZ,1707364497
51,gilgit,35.9221,74.3087,-5.8,63,1,1.33,PK,1707364497
52,nagqu,31.5,92.0,-4.5,9,0,9.94,CN,1707364497
53,kodiak,57.79,-152.4072,0.73,86,100,2.57,US,1707364497
54,bridlington,54.0831,-0.1919,4.45,86,97,1.34,GB,1707364497
55,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,80,75,2.0,RU,1707364497
56,kushiro,42.975,144.3747,-1.47,74,75,1.03,JP,1707364404
57,isafjordur,66.0755,-23.124,-8.23,73,1,1.68,IS,1707364498
58,krasnyy chikoy,50.3643,108.7512,-12.3,86,95,0.3,RU,1707364498
59,lebu,-37.6167,-73.65,13.88,77,97,9.37,CL,1707364498
60,avarua,-21.2078,-159.775,28.03,74,40,8.75,CK,1707364498
61,olonkinbyen,70.9221,-8.7187,-2.9,54,79,5.9,SJ,1707364498
62,whitehorse,60.7161,-135.0538,-14.57,81,40,2.57,CA,1707364324
63,waitangi,-43.9535,-176.5597,19.34,84,100,2.04,NZ,1707364252
64,kourou,5.1552,-52.6478,28.03,82,95,3.79,GF,1707364498
65,garbahaarrey,3.3289,42.2209,25.9,67,4,3.15,SO,1707364499
66,dudinka,69.4058,86.1778,-26.85,97,25,1.79,RU,1707364499
67,queenstown,-31.8976,26.8753,12.5,93,48,1.28,ZA,1707364499
68,el bauga,18.262,33.9081,15.02,45,1,3.7,SD,1707364499
69,pelileo,-1.3167,-78.5333,12.65,93,96,1.14,EC,1707364499
70,uturoa,-16.7333,-151.4333,28.57,84,81,11.6,PF,1707364499
71,plastun,44.7561,136.2939,-3.77,47,0,6.97,RU,1707364499
72,bilibino,68.0546,166.4372,-34.76,100,99,0.25,RU,1707364500
73,ribas do rio pardo,-20.4431,-53.7592,22.0,95,100,1.63,BR,1707364500
74,taco pozo,-25.6167,-63.2833,29.02,52,97,3.42,AR,1707364500
75,semikarakorsk,47.5194,40.8112,6.7,83,47,7.48,RU,1707364500
76,margaret river,-33.95,115.0667,26.2,44,0,2.33,AU,1707364500
77,tolanaro,-25.0319,46.9987,24.04,88,40,1.03,MG,1707364500
78,fuglafjordur,62.244,-6.814,-0.74,64,98,9.13,FO,1707364500
79,torres,-29.3353,-49.7269,25.48,95,100,2.93,BR,1707364500
80,bom jesus,-9.0744,-44.3586,24.55,71,76,0.35,BR,1707364500
81,vila franca do campo,37.7167,-25.4333,18.27,99,85,8.6,PT,1707364501
82,hawaiian paradise park,19.5933,-154.9731,22.73,83,100,2.06,US,1707364501
83,albany,42.6001,-73.9662,1.52,70,34,0.7,US,1707364498
84,greymouth,-42.4667,171.2,17.44,65,84,6.66,NZ,1707364501
85,dawson creek,55.7666,-120.2362,-7.2,79,20,0.0,CA,1707364501
86,ribeira grande,38.5167,-28.7,16.54,86,48,9.83,PT,1707364501
87,longyearbyen,78.2186,15.6401,-8.09,73,40,4.63,SJ,1707364501
88,hithadhoo,-0.6,73.0833,27.69,76,85,3.78,MV,1707364501
89,puerto baquerizo moreno,-0.9,-89.6,25.73,82,75,4.81,EC,1707364502
90,santo antonio,-6.3106,-35.4789,24.8,85,100,2.54,BR,1707364502
91,dryden,49.7833,-92.7503,2.16,93,100,4.12,CA,1707364502
92,college,64.8569,-147.8028,-18.85,84,40,1.54,US,1707364502
93,moree,-29.4667,149.85,28.94,49,69,6.04,AU,1707364502
94,ghat,24.9647,10.1728,11.62,24,0,1.91,LY,1707364502
95,east london,-33.0153,27.9116,20.52,60,0,4.63,ZA,1707364503
96,remire-montjoly,4.9167,-52.2667,28.02,78,100,5.14,GF,1707364503
97,neon karlovasion,37.7903,26.7044,17.73,84,100,7.39,GR,1707364503
98,hamilton,39.1834,-84.5333,9.47,54,0,3.6,US,1707364409
99,crane,31.3974,-102.3501,12.82,46,43,3.58,US,1707364503
100,pinarbasi,38.7229,36.3931,-0.17,88,68,2.73,TR,1707364503
101,talsi,57.2456,22.5814,-5.82,97,98,0.28,LV,1707364503
102,minden,52.2833,8.9167,1.37,97,75,1.03,DE,1707364504
103,kitami,43.8031,143.8908,-2.3,65,95,3.21,JP,1707364504
104,babayevo,59.3936,35.9371,-24.34,98,41,2.21,RU,1707364504
105,vire,48.9167,-0.8333,12.66,94,100,6.91,FR,1707364504
